제목,날짜,제목_긍정,제목_부정,제목_중립,스크립트_긍정,스크립트_부정,스크립트_중립
[간밤 월드뉴스 총정리 8월 29일] 단기채 입찰금리 기록 경신중 / 중국 간 미 상무부 장관 / 반도체주 상승/ 기업형 챗GPT 출시 / 비트코인 지지선은,2023-08-29,5.64e-05,3.49e-05,0.99990857,0.09048138,0.073082045,0.8364365
"[김현석의 월스트리트나우] 국채 쏟아졌는데 금리 하락! S&P500 8월 첫 연속 상승...""중국 망가져도 미국 OK""",2023-08-29,4.7589907e-05,0.00010253778,0.9998499,0.05962192,0.046798203,0.8935799
[김현석의 월스트리트나우] 놀랄 게 없었던 잭슨홀! 엔비디아 꺾이면 랠리 끝? 무서운 '9월'이 다가온다,2023-08-26,4.7760142e-05,9.548253e-05,0.9998567,0.050748803,0.07336253,0.8758886
"[간밤 월드뉴스 총정리 8월 26일] 파월 잭슨홀 발언 분석 / ECB는 매파 / 미시간대 소비심리 / 테슬라 공장, 인도 갈까 / 어펌 급등 / 다음주 실적·지표는",2023-08-26,4.7e-05,4.02e-05,0.99991286,0.060757965,0.077870205,0.8613718
[잭슨홀 미팅 동시통역 생중계] 제롬 파월 의장 발언 집중분석 | 해설 김현석·신인규 뉴욕특파원,2023-08-25,6.5846136e-05,5.4107175e-05,0.9998801,0.023231404,0.061174307,0.9155943
[김현석의 월스트리트나우] 엔비디아 '뉴스에 팔았다'…미 경제 6% 성장? 살아난 '잭슨홀' 트라우마,2023-08-25,9.150811e-05,4.594183e-05,0.99986255,0.084885985,0.09331268,0.8218013
[간밤 월드뉴스 총정리 8월 25일] 엔비디아 호재 지운 두 가지 / 파월 잭슨홀 발언 포인트는 / 내구재·실업수당청구 / 테슬라 사이버트럭 우려 / 달러트리 흔들,2023-08-25,4.35e-05,8.51e-05,0.9998714,0.06423719,0.08157698,0.8541858
"AI가 운용하는 ETF, 어떻게 시장 이겼나 AI, 투자도 사람 대체할까? feat.오기석 크래프트 APAC 대표 인터뷰 | 신인규의 마켓나우",2023-08-25,6.49e-05,5.7e-05,0.99987817,0.023752514,0.015670054,0.9605774
"[김현석의 월스트리트나우] 엔비디아, '미친' 실적 발표! 숏스퀴즈에 금리 급락...톰리 ""잭슨홀, 랠리 시작""",2023-08-24,0.0001009832,0.00016665486,0.99973243,0.05874284,0.1415408,0.79971635
"[간밤 월드뉴스 총정리 8월 24일] 엔비디아 어닝 서프라이즈, 증시 영향은 / 채권금리 하락 / 유로존·미국 PMI 약화 / 유가는 왜 하락? / 암호화폐도 상승",2023-08-24,0.014672005,0.000305019,0.98502296,0.1053032,0.10100513,0.7936917
[김현석의 월스트리트나우] 실적 발표 하루 전 3% 급락한 엔비디아 AI 모멘텀 향방은?,2023-08-23,0.0010354978,0.23064564,0.76831883,0.04937946,0.09111951,0.85950094
"[간밤 월드뉴스 총정리 8월 23일] S&P, 은행주 신용강등 / 채권금리 상승, 월가·연준 시선은 / 덜 줄어든 원유재고 / 미국 집값 TMI / 유통업체, 도난이 문제?",2023-08-23,4.04e-05,0.000132293,0.9998273,0.06487311,0.108119294,0.82700765
"[간밤 월드뉴스 총정리 8월 22일] 채권 상승 부추긴 '중립금리'란 / 중국 LPR 인하, 월가 시각은 / 나스닥은 날았다, 왜? / 엔비디아 급등 / 줌 실적은",2023-08-22,4.25e-05,4.45e-05,0.999913,0.06919569,0.056775503,0.8740288
"[김현석의 월스트리트나우] 금리 폭등 무시한 엔비디아의 질주!! 금리 올라도 ""주가 상승""",2023-08-22,0.006824598,0.00056483963,0.99261063,0.08018123,0.04441239,0.8754064
[김현석의 월스트리트나우] 잭슨홀(25일)보다 중요한 엔비디아 실적(23일)! 'Sell the news' 이벤트?,2023-08-19,4.9003727e-05,4.1193678e-05,0.99990976,0.037061945,0.11137804,0.85155994
[간밤 월드뉴스 총정리 8월 19일] 내려온 채권금리…전망은 / 중국 부양책 시동? / 테슬라 6일 연속 하락 / 비트코인 하락세 / 디어·샤오펑 실적+다음주 일정,2023-08-19,3.72e-05,6.58e-05,0.999897,0.05657608,0.18878144,0.7546425
"[김현석의 월스트리트나우] 금리 6일 연속 상승 WSJ ""예상 못한 혼란 가능""' 잭슨홀 회의' 전환점 되나?",2023-08-18,9.4375166e-05,0.00035214456,0.9995535,0.05765664,0.095626,0.8467174
"[간밤 월드뉴스 총정리 8월 18일] 헝다 파산보호신청 / 월가 10년물 예상 / 달러 약세·유가 반등 / 월마트 실적은 / 부동산, 한국도 걱정? / 미 경제지표 분석",2023-08-18,0.010618817,0.18149173,0.80788946,0.039608166,0.08108254,0.8793093
"[김현석의 월스트리트나우] 무서운 금리, 10년물 4.25%...서머스 ""4.75% 간다"" 매파가 지배한 FOMC",2023-08-17,0.00010193911,0.00032094392,0.9995772,0.027549021,0.07577546,0.8966756
"[간밤 월드뉴스 총정리 8월 17일] FOMC 회의록 내용은 / 불안 커진 시장 / 2% 빠진 유가 / 괜찮은 TJX·타겟 실적 / 위워크 문제, 왜? / 주택·산업생산 분석",2023-08-17,4.51e-05,4.58e-05,0.99990916,0.044860397,0.11883792,0.8363016
[김현석의 월스트리트나우]  중국은 흔들리는데 미국 GDP 5% 성장? 계속 올라가는 장기 금리,2023-08-16,5.73341e-05,6.489299e-05,0.9998778,0.05631774,0.1261925,0.81748974
[간밤 월드뉴스 총정리 8월 16일] 중국 우려에 은행주 불안…연준·피치는 왜? / / 조금 커진 침체 우려 / 원자재도 출렁 / 제조·소매판매 지표는 / 홈디포 실적은,2023-08-16,8.2e-05,0.011618085,0.98829997,0.044378243,0.07700397,0.87861776
[김현석의 월스트리트나우] 엔비디아의 7% 반등! 500달러 간다 or 감마스퀴즈일 뿐?,2023-08-15,0.16971844,0.0013203645,0.8289612,0.07593939,0.11081854,0.8132421
"[간밤 월드뉴스 총정리 8월 15일] 中 부동산 우려, 월가 시선은 / 테슬라 中 할인 / 원자재도 하락 / 내려간 기대인플레 / M&A에 웃는 철강주 / 엔비디아 급등",2023-08-15,4.68e-05,4.2e-05,0.9999112,0.026983893,0.06113666,0.9118795
"[김현석의 월가 인터뷰] 금리 4.5% 넘을 수도...그러면 침체 확률 높아져 ""그래서 난 지금도 채권 산다""",2023-08-13,4.3029508e-05,7.2758034e-05,0.99988425,0.0007783535,0.003462139,0.9957594
"[간밤 월드뉴스 총정리 8월 12일] 예상보다 나쁜 PPI, S&P 상승 탓? / 국채금리 상승 / 소비심리는 이상 무/ 엔비디아, PER이 부담 / IEA ""유가 더 오른다""",2023-08-12,3.42e-05,0.00010225,0.9998635,0.05046932,0.03553486,0.91399586
"[김현석의 월스트리트나우] 치솟는 금리, 길잃은 증시...모건스탠리 ""4.25% 넘으면 관에 못 박는 것""",2023-08-12,4.5665827e-05,5.0258815e-05,0.99990404,0.05865298,0.061296612,0.8800504
"[김현석의 월스트리트나우] 흠잡을 데 없던 7월 CPI, 월가 ""Fed 인상 끝""...폭등하던 주가 왜 꺾였나",2023-08-11,0.00025102805,0.0015985147,0.9981504,0.030773433,0.069373146,0.8998534
"[간밤 월드뉴스 총정리 8월 11일] 괜찮은 CPI, 월가 분석은? / 30년 채권 입찰 이후 흔들린 채권시장 / 알리바바·노보노디스크 실적 / 아마존의 출첵 강화",2023-08-11,6.3e-05,4.59e-05,0.99989104,0.06490788,0.07218648,0.8629057
"[간밤 월드뉴스 총정리 8월 10일] 미국, 대中 투자 규제 내용은 / 여전히 강한 미 장기채 수요 / CPI 월가 전망은? 디즈니·로블록스 실적 / 유럽 가스 급등",2023-08-10,5.19e-05,5.11e-05,0.999897,0.037212558,0.08691658,0.8758708
[김현석의 월스트리트나우] 7월 CPI 반등해도 걱정하지 않을 이유? 엔비디아 왜 4% 급락했나?,2023-08-10,0.000113548645,0.00016258594,0.99972385,0.023584351,0.11631564,0.86010003
[김현석의 브레이킹 뉴스] 7월 소비자물가지수(YoY) 3.2% / 7월 근원 소비자물가지수(YoY) 4.7%,2023-08-10,4.4627286e-05,4.3040603e-05,0.9999124,0.038249936,0.072032206,0.8897178
"[간밤 월드뉴스 총정리 8월 9일] 中이 흔든 심리 / 무디스, 은행 신용강등 왜? / 美 부채 보고서 살펴보니 / 코인 상승, 중국 덕? / UPS·일라이릴리 실적은",2023-08-09,4.96e-05,6.68e-05,0.99988365,0.07057184,0.10531463,0.82411355
"[김현석의 월스트리트나우] 무디스 ""은행 전망 어둡다"", 모건스탠리 ""중국 비중 축소""...그래도 잘 버틴 미 증시",2023-08-09,4.0185718e-05,5.2433756e-05,0.9999074,0.035897296,0.20357472,0.760528
"[간밤 월드뉴스 총정리 8월 8일] 기업들 실적 예상 상회 / ""다시 Risk-on""/ 유가는 숨고르기 / 테슬라 CFO 교체 여파는 / 소비자 신용대출 잔고 톺아보기",2023-08-08,0.005596493,0.014277775,0.9801257,0.07798711,0.10304671,0.81896615
"[김현석의 월스트리트나우] 애플 5일간 9% 급락 ""조정 온다""는 월가, Fed 윌리엄스가 살렸다",2023-08-08,0.0016796709,0.35376513,0.6445552,0.060216162,0.0707722,0.8690116
"[간밤 월드뉴스 총정리 8월 5일] 고용 냉각은 좋은데 임금이 걱정 / 채권금리는 다시 급락 / 유가는 왜? / 구글의 사무실 러브콜 / 백악관, 중국 추가 규제?",2023-08-05,3.99e-05,7.08e-05,0.9998894,0.04386923,0.057909574,0.89822125
"[김현석의 월스트리트나우] '골디락스' 고용에 오르던 주가, 장 막판 급락한 이유...다음주 CPI, 올라간다?",2023-08-05,0.0032752065,0.6319852,0.36473966,0.047635015,0.11515421,0.8372108
[간밤 월드뉴스 총정리 8월 4일] 장기채 급등 진짜 이유는 / 투자심리 하루만에 진정? / 임금 부담 줄어든 미국 / 아마존·애플 실적 분석,2023-08-04,6.99e-05,4.83e-05,0.99988186,0.066968516,0.085699685,0.8473318
"[김현석의 월스트리트나우] 애커먼 ""국채 공매도"" vs 버핏 ""매수""...솟구친 금리에 멈춰선 증시! 애플, 아마존이 구원?",2023-08-04,5.9915536e-05,5.2064108e-05,0.99988794,0.07312669,0.111927606,0.81494576
[김현석의 브레이킹 뉴스] 7월 고용보고서,2023-08-04,4.5837016e-05,3.438526e-05,0.9999198,0.010399423,0.0728012,0.9167993
"[김현석의 월스트리트나우] 다이먼 ""웃기는 일""...'피치의 강등' 무시했지만 나스닥은 왜 2% 내렸나",2023-08-03,0.0002088945,0.0036657674,0.9961254,0.02730216,0.12637246,0.8463254
[간밤 월드뉴스 총정리 8월 3일] 미국 신용등급 강등 분석은 / 나스닥 2% 빠졌는데 / 큰 움직임 없는 채권 / 달러는 올랐다 / ADP 고용 예상 상회 / 퀄컴의 우울한 전망,2023-08-03,0.000115458,0.000221047,0.9996635,0.0766316,0.14696284,0.7764056
"[간밤 월드뉴스 총정리 8월 2일] 유럽 제조업 불안 여전, JOLTs 예상 하회 / ISM vs 마킷, 누가 더 정확? / 스벅·AMD·우버·CAT 실적 / ""9월 인상 불필요""",2023-08-02,3.87e-05,4.87e-05,0.99991274,0.089848354,0.1310879,0.77906376
"[김현석의 월스트리트나우] 8월 첫날부터 치솟은 금리! 톰리 ""8월은 지저분할 것""...피치, 美 신용등급 AAA→AA+ 강등 여파는?",2023-08-02,3.5398847e-05,3.8542235e-05,0.9999261,0.04800691,0.12040738,0.8315857
"[간밤 월드뉴스 총정리 8월 1일] 헤지펀드 디그로싱 급증 / 제조업지표 부진 / 러셀2000 화색 / 온세미 반도체 수요 낙관 / 씨티, S&P 목표 상향 / 구리값이 오른다 왜",2023-08-01,5.31e-05,3.7e-05,0.99990976,0.10671201,0.080618516,0.81266946
"[김현석의 월스트리트나우] 파산 소식에 150% 뛴 주가! 5달 연속 오른 증시 향방? 마이크 윌슨 ""더 오를 수 있지만""",2023-08-01,0.14691009,0.11585925,0.73723066,0.054440044,0.07752842,0.86803156
"[간밤 월드뉴스 총정리 7월 29일] PCE에 ECI, 소비도 '안심' / 채권·달러 동향은 / 포드 부진에 전기차주 高高 / 엑손모빌·셰브론·P&G 실적 / 월가, 유가 전망은",2023-07-29,3.6e-05,8.94e-05,0.9998746,0.09881873,0.12052992,0.7806513
"[김현석의 월스트리트나우] 이게 골디락스! 나스닥 폭등...""상승세 막을 게 없다"" vs ""이제는 쉬어갈 때""",2023-07-29,0.00010342842,0.00020723564,0.99968934,0.06699817,0.08095818,0.8520437
[김현석의 브레이킹 뉴스] 6월 PCE(개인소비지출) 물가 · 2분기 ECI(고용비용지수),2023-07-28,4.280192e-05,3.9373255e-05,0.99991786,0.038921494,0.013708022,0.94737047
"[간밤 월드뉴스 총정리 7월 28일] 예상보다 높은 미국 GDP·경제 지표, 긴축 불안감 자극 / 국채금리 급등 / 인텔·포드·마스터카드·맥도날드 실적은 / 일본 YCC 건드릴까",2023-07-28,4.64e-05,6.63e-05,0.9998872,0.084935665,0.10161555,0.81344885
[김현석의 월스트리트나우] 일본이 망친 '골디락스' 파티! 10년물 금리 4% 돌파...다우 14일만 하락,2023-07-28,4.4363205e-05,7.12901e-05,0.99988437,0.0707437,0.06995069,0.8593056
[김현석의 브레이킹뉴스] 속보! 2분기 GDP!,2023-07-27,7.897941e-05,0.000113585644,0.9998074,0.020381179,0.06148841,0.9181304
"[김현석의 월스트리트나우] 마지막 금리 인상이었나...파월 ""올릴 수도, 안 할 수도""",2023-07-27,4.946523e-05,5.704609e-05,0.9998934,0.051120464,0.04247736,0.9064022
[FOMC 동시통역 생중계] 7월 FOMC 기자회견 파월 의장 발언 집중분석 | 해설 김현석·신인규 뉴욕특파원,2023-07-27,4.4224438e-05,5.0478884e-05,0.99990535,0.017704017,0.028983008,0.95331293
"[간밤 월드뉴스 총정리 7월 27일] FOMC, 예상대로인 줄 알았는데 /채권·달러 동향은 /  메타·코카콜라·보잉·유니언퍼시픽 실적 / 원유재고 감소 / 신규주택판매 줄었다",2023-07-27,4.84e-05,0.0003876,0.999564,0.095822,0.13415943,0.7700186
"[김현석의 월스트리트나우]  나스닥 리밸런싱 끝나자 기술주 다시 상승? ""FOMC 영향없을 것""",2023-07-26,0.000107178515,4.9814367e-05,0.999843,0.17176326,0.08351846,0.7447183
[간밤 월드뉴스 총정리 7월 26일] IMF의 성장률 상향 / 구글 주가 급등 / MSFT는 울상 / 침체 우려 잊는 미국/ 팩웨스트 M&A설,2023-07-26,0.17145483,0.0039936,0.82455164,0.085619316,0.09424131,0.8201393
[간밤 월드뉴스 총정리 7월 25일] 금리인상 '한 번' 관건은 / 닉 티미라오스의 힌트는 / 바비가 띄운 관련주/ 'X' 된 트위터 / 경제지표·실적 일정+분석,2023-07-25,4.47e-05,5.38e-05,0.9999014,0.079274006,0.07385444,0.84687155
"[김현석의 월스트리트나우]  다우 11일째 상승..시장 폭↑ 마이크 윌슨 ""내가 틀렸다"" 콜라노비치 ""AI 공매도 증가""",2023-07-25,0.41555515,0.0068508415,0.577594,0.06304806,0.05915433,0.8777976
[김현석의 월스트리트나우]  톰리마저 '조정 가능성' 블록버스터가 될 다음주 FOMC가 상승 촉발?,2023-07-22,0.00014534948,0.00062885176,0.99922585,0.044352606,0.09897643,0.8566709
"[간밤 월드뉴스 총정리 7월 22일] 아멕스 실적 기대 이하 / 2.3조달러 규모 옵션 만기 / 나스닥 리밸런싱, 강세장 영향은? / 다음주 경제지표·실적 일정은",2023-07-22,0.010429766,0.74964696,0.23992321,0.05153865,0.07371597,0.8747454
"[김현석의 월스트리트나우] TSMC ""AI 수요 충분치 않다"" 나스닥 '대학살의 날' 뜨거운 랠리, 변화 징후?",2023-07-21,5.0805484e-05,5.676059e-05,0.9998925,0.09734164,0.16816992,0.73448837
"[간밤 월드뉴스 총정리 7월 21일] 테슬라·넷플 이어 TSMC도 우려 키웠다 / J&J 덕 다우는 高高 / 채권금리 띄운 미 경제지표/ 무더위, 가스 더 오를까?",2023-07-21,3.02e-05,0.000101338,0.9998685,0.07518102,0.10216184,0.82265717
"[김현석의 월스트리트나우] 기업들 ""경기 살아난다""...테슬라, 넷플릭스 실적 영향? ""랠리 놓쳤다면 여기 투자하라""",2023-07-20,5.910972e-05,3.890224e-05,0.999902,0.074269235,0.14960037,0.7761304
[간밤 월드뉴스 총정리 7월 20일] 테슬라 실적 분석 / 넷플릭스 주가는 왜? / 예상보다 더 남은 원유재고 / 조비(JOBY)는 왜 급락? / '애플 GPT' 기대감,2023-07-20,0.14158447,0.5337242,0.32469139,0.09255973,0.12278574,0.7846545
"[김현석의 월스트리트나우] 은행주마저 날았다 S&P 52주 최고, 다우 7일째 상승 ‘애니멀 스피릿’의 귀환?",2023-07-19,0.0023152805,0.0009975054,0.99668723,0.10154807,0.0800469,0.818405
"[간밤 월드뉴스 총정리 7월 19일] 은행주 실적 분석 / 6월 소매 판매 해석은 / MSFT, 공격적 AI 요금제 / 내일 테슬라 실적, 체크포인트는",2023-07-19,4.31e-05,4.28e-05,0.99991405,0.10508231,0.08341619,0.8115015
"[김현석의 월스트리트나우] 비관론자 콜라노비치 ""연착륙 길 넓어졌다"" 골드만, 침체 확률 25→20%",2023-07-18,4.710737e-05,0.000118612035,0.9998343,0.05704256,0.08737737,0.8555801
"[간밤 월드뉴스 총정리 7월 18일] 침체 가능성 줄인 월가, 왜? / 내일 주요 실적 추정치 정리 / 테슬라 사이버트럭에 포드·리비안 울상",2023-07-18,0.000495715,0.22260824,0.77689594,0.07640405,0.09135514,0.8322408
[김현석의 브레이킹뉴스] 속보! 6월 소매 판매! 미국 경제 계속 강한가?,2023-07-18,4.013668e-05,4.4066684e-05,0.9999157,0.0319395,0.063549116,0.9045114
"[김현석의 월가 인터뷰] ""골디락스 꿈꾸지 마라"" 연착륙 확률 10~20%, 여전히 베어마켓랠리!",2023-07-16,4.1762974e-05,3.509759e-05,0.9999232,0.009449081,0.034967575,0.9555834
"[간밤 월드뉴스 총정리 7월 15일] 너무 좋았던 소비심리, 오히려 채권금리 자극 / 개별 금융주 실적 분석 / 다음주 주요 실적 일정은?",2023-07-15,3.51e-05,6.14e-05,0.99990344,0.04585328,0.07064589,0.8835008
"[김현석의 월스트리트나우] 빅뱅크 '어닝 서프라이즈', 그런데 은행주 폭락 이유! 19일 테슬라, 넷플릭스 어닝 주목",2023-07-15,0.9773812,0.001590139,0.021028591,0.07652252,0.103302784,0.8201747
[간밤 월드뉴스 총정리 7월 14일] PPI도 예상 하회 / 구글 바드 남미 진출 / 2분기 실적 첫걸음 좋았다 / 원유 수요 낙관한 OPEC,2023-07-14,0.001339874,0.000631114,0.99802893,0.05498906,0.03884386,0.9061671
"[김현석의 월스트리트나우] 낮은 물가, 좋은 경기, 나은 실적...두려울 게 없는 증시! '매파' 불러드까지 퇴임",2023-07-14,5.5639717e-05,7.070664e-05,0.99987364,0.0548803,0.08160544,0.8635143
"[간밤 월드뉴스 총정리 7월 13일] CPI 월가 분석은? / 캐나다는 금리 더 올린다 / 달러화 약세 지속 / 미 증시 숏 스퀴즈 '솔솔' / 엔비디아, ARM 지분 투자?",2023-07-13,5.24e-05,5.58e-05,0.9998919,0.068104394,0.053411193,0.8784845
"[김현석의 월스트리트나우] CPI 2.97%에 환호! S&P500 15개월 최고! ""Fed, 7월 인상이 끝""",2023-07-13,0.000215518,5.761302e-05,0.99972695,0.023467863,0.11454187,0.8619902
[김현석의 브레이킹뉴스] 속보! 6월 CPI,2023-07-12,6.451566e-05,6.535176e-05,0.9998702,0.033897046,0.03854076,0.9275622
"[간밤 월드뉴스 총정리 7월 12일] 월가 CPI 전망은 / CPI, 추정치보다 낮을까? / MSFT-액티비전 인수 청신호 / 중국 부양책 기대감에 오른 유가",2023-07-12,7.22e-05,0.000202896,0.9997249,0.07907832,0.08335349,0.8375682
"[김현석의 월스트리트나우] CPI 낮을 것이란 희망, JP모건 ""2.9% 나오면 급등""...나스닥 재조정 수혜주는?",2023-07-12,0.00017469583,0.000113534814,0.9997117,0.033670824,0.0806613,0.88566786
"[김현석의 월스트리트나우] 톰리 ""CPI 낮으면 폭등"", Fed는 합창 ""더 올린다""...기술주 급락, 리밸런싱 탓?",2023-07-11,0.00034995555,0.0050090016,0.99464107,0.039333556,0.093908705,0.8667578
[간밤 월드뉴스 총정리 7월 11일] 6월 미국 기대인플레 하락 / 도매지표 예상 하회 / 쓰레드 흥행에 메타 '방긋' / 2분기 실적 컨센서스는?,2023-07-11,0.000495354,0.005683209,0.9938214,0.062468532,0.060947016,0.8765844
"[김현석의 월스트리트나우] 고용, 30개월 가장 적었는데 WSJ ""긴축 경로 변화 없다""...6월 CPI 2%대 찍나",2023-07-08,9.427094e-05,0.000202287,0.99970347,0.03158151,0.065793075,0.9026254
[간밤 월드뉴스 총정리 7월8일] 일자리 분석…월가 평가는?/ 테슬라 또 호재…벤츠 너마저/ 유가 급등 왜?/ 뉴욕주택 현금 매수 ‘최고’/ 다음주 CPI·금융사 실적,2023-07-08,6.41e-05,3.3e-05,0.99990284,0.03528956,0.06419387,0.9005166
"[김현석의 월스트리트나우] 일자리 50만개 급증! 10년 4% 돌파→주가 급락, 골드만 ""데이터 왜곡 탓""",2023-07-07,0.00090837886,0.00013676222,0.9989549,0.038903285,0.10211766,0.8589791
"[간밤 월드뉴스 총정리 7월7일] “일자리 호재, 투자자엔 악재”/ 성장률은 호호/ 리바이스는 왜?/ TLT·TMF에 무슨 일/ 모기지 금리 또 급등/ 저커버그·머스크 신경전",2023-07-07,0.00016269,0.001888661,0.9979486,0.044484023,0.10217406,0.85334194
"[김현석의 월스트리트나우] Fed 분열 커지나, 금리(10년) 4% 근접! 하반기 강세장 위협?",2023-07-06,0.000110541565,0.0008780034,0.9990114,0.057484,0.10930661,0.8332094
