제목,날짜,긍정,부정,중립,제목_긍정,제목_부정,제목_중립
부자들은 '이 질문'에 완전히 다르게 답변합니다 [독한자들 : 원씽 1부],2023-09-05,0.001029568,0.015519279,0.9834512,4.75E-05,4.43E-05,0.9999081
‘이게’ 없으면 노후에 제대로 후회합니다 [고명환 작가 3부],2023-09-05,0.000822836,0.017102314,0.98207474,0.000456216,0.000470111,0.9990736
성공을 입에 달고 사는 사람들이 실패하는 이유는 이걸 완전히 착각하고 있기 때문입니다 [고명환 작가 2부],2023-09-04,0.000710734,0.014141383,0.9851479,0.000896336,0.009064284,0.9900393
이걸 모르고 부동산으로 돈 버는 사람은 단 한명도 없습니다,2023-09-04,0.001963214,0.007537054,0.99049973,0.000501302,0.000329796,0.9991689
"대출만 14개, 10억 받았습니다. 감당이 안 되는데 어떻게 해야 할까요?",2023-09-03,0.004863226,0.02947953,0.9656573,0.004991007,0.25011173,0.74489725
집값 상승? 하락? 궁금해서 직접 현장 가봤습니다[김인만 소장 풀버전],2023-09-03,0.009542687,0.024392005,0.96606535,3.87E-05,3.96E-05,0.9999217
인생을 바꾸고 싶은 우리 구독자들이 꼭 봤으면 하는 영상입니다 [고명환 작가 1부],2023-09-02,0.000755083,0.010516438,0.98872846,6.51E-05,3.91E-05,0.9998958
집값 상승? 하락? 앞으로 한국 집값은 이렇게 됩니다[박연미 경제평론가 3부],2023-09-02,0.001069297,0.018501073,0.9804297,5.27E-05,5.88E-05,0.99988854
30년 역사에서 공통적으로 반복되는 금융위기의 징조는 이것입니다 [신한은행 오건영 팀장 풀버전],2023-09-01,0.004883608,0.056918748,0.9381977,0.000600892,0.05316383,0.9462353
"가계부채 3,000조 넘어 계속 늘어나는데, 한국의 경제위기 폭탄 터질까[박연미 경제평론가 2부]",2023-09-01,0.015321089,0.030659277,0.95401955,0.000502621,0.013936345,0.9855611
답답한 인생 바꾸고 싶지만 막막하다면 이 영상을 보세요 [상남자들],2023-09-01,0.007520498,0.018240547,0.97423893,0.00010233,9.64E-05,0.9998012
"심각한 경제위기의 중국 경제, 다가오는 차이나 리스크가 힌국에 어떤 영향 줄까[박연미 경제평론가 1부]",2023-08-31,0.008564054,0.05709033,0.9343456,0.001275476,0.16041099,0.8383135
"멸종의 길로 가고 있는 대한민국, 정부가 발표한 특단의 대책 과연 통할까",2023-08-31,0.007527834,0.004402235,0.9880699,0.00033482,0.001194869,0.99847025
집값 대세 상승이 오는 신호를 알려드립니다. 이때 집 안 사면 후회합니다 [부룡 부동산 투자 전문가 3부],2023-08-30,0.000599585,0.001143627,0.9982568,4.50E-05,3.79E-05,0.99991715
성공하는 사람들이 보이지 않는 곳에서 피눈물을 흘리는 이유 [개그맨 서경석],2023-08-30,0.000790181,0.016637027,0.9825728,0.000339488,0.003459943,0.9962005
지금 흙수저로 천만원밖에 없다면 이 3가지만 사모으세요 자산이 2배씩 늘어납니다 [홍춘욱 대표 3부],2023-08-29,0.017831797,0.007304926,0.9748633,0.000273714,0.000141239,0.9995851
흙수저로 태어나서 금수저로 은퇴하려면 이 방법 밖에 없습니다 [홍춘욱 대표 2부],2023-08-29,0.001322072,0.026123397,0.9725545,0.001032469,0.000280642,0.99868697
"IMF 위기 전과 비슷한 상황의 한국, 당분간 한국의 부동산, 주식시장은 이렇게 됩니다[홍춘욱 대표 1부]",2023-08-28,0.017360521,0.0396778,0.94296163,0.000278456,0.004403685,0.9953178
결국 부자되는 직장인이 똑같이 경험하는 5단계 프로세스 핵심 설명,2023-08-28,0.00789965,0.014691682,0.97740877,9.38E-05,7.46E-05,0.99983156
부모 도움 없이 결혼해서 잘 살려면 이렇게 하세요,2023-08-27,0.000818556,0.025738908,0.97344255,8.19E-05,6.73E-05,0.99985063
"달라진 부동산 분위기, 실제 현장 가보니 이렇습니다 [부동산 실전투자자 훨훨 풀버전]",2023-08-26,0.006981841,0.003623607,0.9893946,4.58E-05,3.96E-05,0.9999145
"앞으로 10년간 가장 쉬운 내 집 마련 방법 알려드립니다. 무주택자, 1주택자라면 이렇게 하세요[부룡 부동산 투자 전문가 2부]",2023-08-26,0.002109726,0.020325547,0.97756475,4.46E-05,4.00E-05,0.99991536
"부동산 2차하락이 오는 시기, 이 기준으로 판단하세요 [김인만 소장 3부]",2023-08-25,0.025197603,0.04069608,0.93410635,5.31E-05,0.000137513,0.9998093
"다시 시작된 집값 반등 분위기, 앞으로 부동산 집값은 이렇게 됩니다[부룡 부동산 투자 전문가 1부]",2023-08-25,0.004947515,0.03192828,0.96312416,5.51E-05,3.97E-05,0.9999052
“최강 짠 커플” 8억짜리 아파트 산 이 커플이 통신비 1만 원 쓸 수 있었던 이유 [상남자들],2023-08-25,0.00405474,0.019391458,0.9765538,4.99E-05,5.87E-05,0.9998914
부동산 위기 끝나지 않았습니다. 곧 2차 하락이 올 겁니다 [김인만 소장 2부],2023-08-24,0.005805236,0.020440444,0.97375435,0.000651018,0.020029427,0.97931963
'빨리 돈 빌려야 돼' 사람들이 은행에 달려가는 이유,2023-08-24,0.017165873,0.03810181,0.94473237,5.51E-05,5.92E-05,0.9998857
부모님이 남자친구를 반대 합니다. 이 결혼 해도 될까요? [결혼할 결심 박은주 변호사],2023-08-23,0.001091975,0.00219526,0.9967128,7.10E-05,5.03E-05,0.99987876
"평당 1억 넘는 아파트, 반포 래미안 원베일리 조금만 손보면 완전히 달라집니다(feat. 디벨로더하우스)",2023-08-23,0.00338181,0.00096522,0.995653,4.90E-05,5.57E-05,0.9998952
"비정상적인 부동산 시장의 움직임, 앞으로 집값은 이렇게 됩니다 [김인만 소장 1부]",2023-08-22,0.00254056,0.024776349,0.97268313,4.79E-05,4.53E-05,0.9999068
부자가 되려면 반드시 알아야 할 1가지 사실,2023-08-21,0.000822843,0.003531198,0.9956459,0.000188297,7.71E-05,0.9997346
"결혼하고 싶은 남자들, 목돈은 이렇게 쓰는 겁니다",2023-08-20,0.001264022,0.015896868,0.98283917,8.75E-05,6.60E-05,0.99984646
급락 멈춘 부동산 집값 상승은 이때 부터입니다 [허혁재 미래에셋 부동산수석위원 풀버전],2023-08-19,0.01807185,0.020735905,0.9611922,5.13E-05,7.37E-05,0.99987507
"에코프로 100만원, 아직 2차전지 주가가 싼 이유 [박순혁 작가 풀버전]",2023-08-18,0.043678064,0.047466822,0.9088551,0.10498629,0.45075005,0.44426364
돈 못 모으는 사람들은 이것부터 고치세요 [상남자들],2023-08-18,0.000898397,0.002092389,0.9970092,0.000164888,0.000124186,0.99971086
부동산 시장 최대 논란 충격의 ‘칼날 아파트‘ 제대로 살펴봤습니다,2023-08-17,0.000929656,0.01042929,0.9886411,0.000396348,0.009312749,0.99029094
모두가 예측한 미래가 틀릴 수 있는 이유 [신한은행 오건영 팀장 3부],2023-08-17,0.003299439,0.02515612,0.9715445,5.12E-05,4.04E-05,0.99990845
경제위기 항상 ‘이럴때’ 왔습니다 [신한은행 오건영 팀장 2부],2023-08-16,0.008857977,0.068319805,0.9228221,0.000139723,0.015764028,0.9840963
"패닉에 빠진 은행들이 '이걸' 다 팔고 있습니다, 후폭풍은? [신한은행 오건영 팀장 1부]",2023-08-16,0.004575605,0.0717304,0.9236941,0.000172198,0.005560624,0.99426717
"""다른 데서 이상한 말 듣고 오지 마세요"" 하반기 돈 버는 법 [박순혁 작가 3부]",2023-08-15,0.022824513,0.019721998,0.9574535,4.56E-05,5.88E-05,0.99989545
2차전지 뒤흔들 제일 큰 변수는 이겁니다 [박순혁 작가 2부],2023-08-15,0.07417378,0.08603819,0.839788,0.000105682,8.88E-05,0.9998055
2차전지 ‘에코프로’ 지금 밀고 들어가라? 저 같으면 이렇게 합니다 [박순혁 작가 1부],2023-08-14,0.02478253,0.02610074,0.94911665,0.001531131,0.002979126,0.9954898
당신이 회사원이라면 '이 2가지' 길 중 하나를 선택해야 부자 됩니다,2023-08-14,0.000999412,0.010504788,0.9884959,0.000211576,0.000123889,0.99966455
요즘 집값 분위기 극명하게 알려주는 아무도 몰랐던 사실 1가지 [고준석 대표 풀버전],2023-08-12,0.001493868,0.014390462,0.98411566,4.26E-05,4.42E-05,0.9999132
"내 집 마련 시 가장 고민인 대출&이자, 기준은 이렇게 잡으세요 [김준영 부동산 실전투자자 4부]",2023-08-12,0.005781674,0.005149556,0.98906875,5.37E-05,3.75E-05,0.9999087
결국 이혼상담 하러 온 부부의 사례로 보는 후회 안 할 좋은 결혼상대 만나는 법 [세포언니 부부상담사 풀버전],2023-08-11,0.001246472,0.009792874,0.9889607,5.71E-05,4.21E-05,0.9999008
향후 10년 이내 건물주가 될 목표로 한다면 알아야 할 빌딩의 세계 [빌딩메이트 송나래 대표 1부],2023-08-11,0.005535066,0.01733568,0.9771293,6.01E-05,3.76E-05,0.99990225
'욜로'는 절대 하면 안 되는 이유 [상남자들],2023-08-11,0.002327704,0.004186847,0.9934854,0.000148323,0.000217158,0.9996345
월 300만 원 월급 투자하기에 충분합니다 [부동산 실전투자자 훨훨 2부],2023-08-10,0.000697828,0.001338643,0.99796355,0.001622609,0.000245178,0.99813217
"대한민국을 확 뒤집은 LH 순살아파트, 진짜 문제는 이겁니다",2023-08-10,0.008101461,0.08361022,0.9082883,6.04E-05,5.39E-05,0.9998857
하나에 미치면 반드시 성공하는 이유 [독한자들 : 슈독 2부],2023-08-09,0.01501275,0.027827533,0.95715976,0.000329618,0.000202763,0.99946755
집값이 높고 낮고 떠나서 절대 돈 넣으면 안 되는 아파트 특징 [김준영 부동산 실전투자자 3부],2023-08-09,0.011543814,0.008193139,0.9802631,5.31E-05,4.20E-05,0.9999049
이 남자가 단돈 6만 원으로 억만장자가 된 비밀 [독한자들 : 슈독 1부],2023-08-08,0.015010027,0.029129267,0.95586073,0.000432813,0.002992151,0.99657506
지금 아니면 나라에서 가져가는 사업자금 돌려받기 [비즈넵 환급/경정청구],2023-08-08,0.001726463,0.016360534,0.98191303,0.000423691,0.000431593,0.9991447
'반포 래미안 원베일리' 인테리어 확 바꿔봤습니다 (feat.디벨로더하우스),2023-08-07,0.0031136,0.001650152,0.9952363,4.50E-05,4.83E-05,0.9999068
노후 자금에서 월세가 차지하는 비중이 높은 이유[김사부 3부],2023-08-07,0.001125809,0.00536738,0.9935068,0.000151691,6.74E-05,0.99978083
부동산 투자 초보 '이런' 실수 하지마세요,2023-08-07,0.004312232,0.010511793,0.985176,7.39E-05,7.80E-05,0.9998481
지금 집 사려면 '이 기준' 알고 가세요,2023-08-06,0.018926356,0.003983004,0.9770906,7.64E-05,5.67E-05,0.99986684
"앞으로 부동산 시장, 저는 '폭락'을 말합니다. 이유는요 [이현훈 교수 풀버전]",2023-08-05,0.004400166,0.029496016,0.9661038,3.60E-05,0.000114606,0.9998493
실수요자는 '이 지표' 보고 집 사야 합니다 [김사부 2부],2023-08-05,0.004860557,0.027601685,0.96753776,4.66E-05,5.45E-05,0.9998989
"정신 차리세요, 이 비용 안 줄이면 노후 파산합니다 [부자아빠 정재호 풀버전]",2023-08-04,0.005455058,0.032468017,0.9620769,0.000802845,0.002568856,0.9966282
강남 역삼동에 들어설 디벨로 건설 2번째 빌딩 [디벨로 종합건설],2023-08-04,0.011286548,0.003607915,0.98510545,9.74E-05,6.61E-05,0.99983656
“상남자들 도와주세요”전세 사기 당했습니다 [상남자들],2023-08-04,0.023618162,0.018148968,0.9582328,5.81E-05,6.70E-05,0.99987495
디벨로 건설 드디어 사옥 짓습니다[디벨로 종합건설],2023-08-03,0.016649587,0.010745739,0.97260463,0.013537773,0.000540084,0.9859221
'전세금' 반환 대출 규제 풀립니다,2023-08-03,0.002208876,0.010178526,0.98761266,6.72E-05,6.86E-05,0.9998641
지금 부동산 시장 분위기에선 '이걸' 알고 매수해야 합니다 [부동산 실전투자자 훨훨 1부],2023-08-02,0.0069262,0.007665348,0.9854083,0.00013318,7.00E-05,0.9997968
배 타는 남편과 1년 중 6개월만 봅니다 [결혼할 결심 박은주 변호사],2023-08-02,0.000874709,0.002630009,0.9964953,0.000100659,7.86E-05,0.99982065
"1주택 갈아타기, 이 원칙을 안 지키면 정말 큰일납니다 [고준석 대표 4부]",2023-08-01,0.002094931,0.010968884,0.98693615,0.000253877,0.000392241,0.99935395
"하반기 부동산 시장, 이 세대가 움직이지 않으면 쉽지 않습니다 [김사부 1부]",2023-08-01,0.014291081,0.011143933,0.974565,5.46E-05,4.99E-05,0.9998956
"부동산 시장, 전세랑 맞물려서 집값은 '이때'가 상승 유력합니다 [김준영 부동산 실전투자자 2부]",2023-07-31,0.006206179,0.029486282,0.96430755,5.68E-05,4.39E-05,0.99989927
"임대차3법, 소송이 난무하는 가운데 또 혼란의 판결이 나왔습니다",2023-07-31,0.069761656,0.20927277,0.7209656,0.000560022,0.99912196,0.000318026
영끌(?)한 남친과결혼해도 되나요,2023-07-30,0.000664607,0.00160301,0.9977324,0.00014016,9.09E-05,0.9997689
"집값 진단하는 확실한 지표가 있습니다, 하반기 부동산 집값 이렇게 됩니다 [김준영 부동산 실전투자자 1부]",2023-07-29,0.005461493,0.008593002,0.9859454,4.46E-05,3.71E-05,0.9999182
"각자 돈 관리 VS 합쳐서 돈 관리, 오늘부터 이렇게 하세요 [상남자들]",2023-07-28,0.000759429,0.004029003,0.99521154,0.000101002,4.36E-05,0.9998554
하반기 전세 대란 현재 상황은요 [허혁재 미래에셋 부동산수석위원 3부],2023-07-27,0.00380815,0.01163287,0.98455894,3.98E-05,5.14E-05,0.9999088
"강남 아파트 '68억' 신고가, 거래만 있고 등기가 없다?",2023-07-27,0.022991853,0.121778876,0.8552293,9.46E-05,7.51E-05,0.99983037
집 살 때 대출 받는 기준이 있습니다. 그 방법은요 [고준석 대표 3부],2023-07-26,0.00058422,0.001503249,0.9979126,6.33E-05,5.27E-05,0.999884
무주택자가 내 집 마련 하기 전 꼭 봐야할 돈 버는 방법 [허혁재 미래에셋 부동산수석위원 2부],2023-07-26,0.001986548,0.008504858,0.98950857,5.98E-05,6.29E-05,0.99987733
집 매수 시점 제대로 알려드립니다 [고준석 대표 2부],2023-07-25,0.002752713,0.03944436,0.9578029,4.73E-05,4.04E-05,0.99991226
지금 부동산 시장 제대로 정리합니다 [허혁재 미래에셋 부동산수석위원 1부],2023-07-25,0.043380916,0.040666874,0.9159522,4.22E-05,4.16E-05,0.9999162
이제 결혼할 때 1억 5천 받고 하세요,2023-07-24,0.000642435,0.001027348,0.9983302,0.000143514,0.000108288,0.9997482
결혼 전부터 반반 따지면 망하는 이유,2023-07-23,0.000680087,0.002816236,0.9965038,0.000145774,0.000124483,0.9997297
급매 다 빠졌다 집값 오를 겁니다 [고준석 대표 1부],2023-07-22,0.001579574,0.017635893,0.98078454,4.15E-05,5.86E-05,0.9999
빌딩 건물주되는부동산 투자 정석 [빌딩메이트 송나래 대표 2부],2023-07-21,0.026221769,0.012483098,0.96129525,5.09E-05,3.43E-05,0.99991477
이제는 앞으로 인생이 너무 기대됩니다 [상남자들],2023-07-21,0.001485782,0.00778546,0.99072874,0.000244578,6.71E-05,0.9996884
한국 부동산 곪아터지고 있다 [이현훈 교수 3부],2023-07-20,0.001941232,0.01231916,0.9857396,4.08E-05,4.41E-05,0.999915
서울 집값 8주 연속 오르는 중?,2023-07-20,0.032071758,0.009399508,0.9585288,5.46E-05,4.65E-05,0.9998989
미중 갈등에 한국 종말? [이현훈 교수 2부],2023-07-19,0.002915707,0.054376483,0.9427079,0.000266238,0.99390066,0.005833061
신랑 신부 결혼자금 논란 종결 [결혼할 결심 박은주 변호사],2023-07-19,0.000715445,0.014213026,0.98507154,0.001036392,0.8770131,0.12195051
아직 이런 위기가 남았습니다 [이현훈 교수 1부],2023-07-18,0.007881135,0.03295703,0.95916176,0.002516077,0.89159745,0.10588643
집값 반등하니 집이 사고 싶어요,2023-07-18,0.003271325,0.013765231,0.9829634,9.96E-05,6.73E-05,0.9998332
당신이 투자할 때 매번 손해 보는 이유 [부자아빠 정재호 2부],2023-07-17,0.019258311,0.012102187,0.9686395,0.00044006,0.000180766,0.99937916
하늘 아래 마천루? 압구정 재건축 이렇게 됩니다,2023-07-17,0.004781693,0.001196841,0.99402153,6.41E-05,5.86E-05,0.9998772
IMF로 부모님 사업 망하고 빚지기가 무섭습니다,2023-07-16,0.001823167,0.017240088,0.9809367,0.001056537,0.638973,0.3599704
지금 부동산 청약 제대로 정리해드립니다 [아임해피 풀버전],2023-07-15,0.000674188,0.002667941,0.99665785,4.50E-05,3.91E-05,0.99991596
좋은 배우자 고르는 기준 싹 정리해드립니다 [세포언니 부부상담사 4부],2023-07-15,0.000783064,0.002897874,0.99631906,4.71E-05,3.88E-05,0.99991417
이 신호에 집 사세요 안 사면 반드시 후회합니다 [채상욱 대표 풀버전],2023-07-14,0.000902419,0.00196934,0.99712825,4.85E-05,6.15E-05,0.99988997
강남역 한복판은 사실 강남구 끝자락입니다 [빌딩메이트 송나래 대표 1부],2023-07-14,0.006116946,0.01705978,0.97682333,4.93E-05,7.02E-05,0.99988055
큰돈 벌기 어려운 직업은 어떻게 부자되나요? [상남자들],2023-07-14,0.001015822,0.013855258,0.9851289,0.000177013,7.26E-05,0.99975044
100% 성공을 이끌어내는 강력한 마인드 [독한자들 : 타이탄의 도구들 3부],2023-07-13,0.00104872,0.007192935,0.99175817,0.001317667,0.000395536,0.9982868
새마을금고 뱅크런 초유의사태,2023-07-13,0.001049466,0.027069952,0.9718805,4.62E-05,3.87E-05,0.9999151
경제적 자유를 얻고도 첫차타고 출근하는 이유 [독한자들 : 타이탄의 도구들 2부],2023-07-12,0.00065956,0.02546426,0.9738762,7.69E-05,5.11E-05,0.99987197
OO없는 주식 투자는 마약 중독과 다를 게 없습니다 [부자아빠 정재호 1부],2023-07-12,0.000910049,0.057951953,0.941138,0.000893929,0.008592205,0.9905138
세계 최고 부자들이 매일 실천하는 것들[독한자들 : 타이탄의 도구들 1부],2023-07-11,0.001274073,0.022422269,0.9763036,0.00028343,6.09E-05,0.9996557
30년 직장 다녀봤자 남은 인생 먹고살기 힘듭니다 [비더시드 이정협 대표],2023-07-11,0.00107282,0.02991967,0.9690075,0.000210501,0.00028197,0.9995074
평생 행복한 부부가 되는 단 한 가지 비결 [세포언니 부부상담사 3부],2023-07-10,0.000752698,0.014777182,0.9844702,6.21E-05,3.34E-05,0.9999045
인생은 어차피 운이다 노력은 소용없다?,2023-07-10,0.000724219,0.004768393,0.9945075,0.000383503,0.000364458,0.999252
결혼 전에 재산 합치면 절대 안 되는 이유,2023-07-09,0.002081042,0.009077348,0.9888416,0.000151521,0.000107828,0.99974066
"지금 부동산 시장 분위기, 제가 알려드리겠습니다 [김제경 소장 풀버전]",2023-07-08,0.008010719,0.013680054,0.9783092,4.62E-05,4.20E-05,0.9999119
부자 흉내 안 내도 부자처럼 보이는 사람 특징 [남인숙 작가 풀버전],2023-07-08,0.001620611,0.007600777,0.9907786,0.00027183,0.000124641,0.99960357
이런 것들에 집착하면 99%는 성공합니다 [독한자들 : 10배의법칙 풀버전],2023-07-07,0.001649898,0.009093582,0.9892565,0.000881283,0.000356932,0.9987618
‘상남자’ 최연소 사연자 “대학 안 가도 될까요?” [상남자들],2023-07-07,0.000762657,0.01287514,0.9863623,4.69E-05,5.46E-05,0.99989843
결국 결혼생활 파탄나는 사람 특징 1가지 [허주연 변호사 3부],2023-07-06,0.00092358,0.013295692,0.9857807,0.000107748,0.000444229,0.999448
역전세 막겠다는 정부 일단 정책이 나왔습니다,2023-07-06,0.007443142,0.002502242,0.99005455,0.000145068,0.000185295,0.9996697
고급 인테리어는 모두 ‘이 가구’를 씁니다(feat. 디벨로더하우스),2023-07-05,0.025313444,0.014076385,0.9606102,6.09E-05,6.58E-05,0.9998733
"""돈 없으니 청약 통장 해지"" 이런 방법으로 유지하세요 [아임해피 4부]",2023-07-05,0.000552474,0.004845937,0.9946015,5.30E-05,9.04E-05,0.9998566
가난한 남친과 남친보다 연봉 높은 나 결혼해도 될까요? [결혼할 결심 / 박은주 변호사],2023-07-05,0.008456085,0.014407463,0.97713643,7.71E-05,5.26E-05,0.9998703
바람 필 사람 알아보는 가장 확실한 방법 [세포언니 부부상담사 2부],2023-07-04,0.000600187,0.018836819,0.98056287,4.40E-05,3.70E-05,0.99991906
지금 제대로 알고가세요 확 바뀐 청약 제도 완벽 정리 [아임해피 3부],2023-07-03,0.000576063,0.003118998,0.99630505,4.40E-05,4.29E-05,0.9999131
평일 지출 0원 극짠돌이 남자와 결혼해도 될까요?,2023-07-02,0.001868748,0.011728905,0.98640233,7.20E-05,5.44E-05,0.99987364
월세 받으며 사세요. 5년간 이렇게 투자하세요 [강용수 대표 풀버전],2023-07-01,0.004879499,0.006202796,0.9889177,0.000462107,0.000235482,0.9993024
대세 상승장 아닙니다 그 이유는요 [유신익 박사 2부],2023-07-01,0.001569436,0.03428691,0.96414363,6.39E-05,4.70E-05,0.99988914
지금 집값 분위기 제가 제대로 정리해드리겠습니다 [빠숑 풀버전],2023-06-30,0.004580993,0.014182864,0.9812361,4.28E-05,4.09E-05,0.9999163
이 동네 건물 사려면 번호표 뽑고 기다려야 합니다 [빌딩메이트 송나래 대표 2부],2023-06-30,0.003419596,0.003246679,0.9933338,5.58E-05,5.34E-05,0.9998908
5억짜리 집 샀더니 대출 갚는 기계가 됐습니다 [상남자들],2023-06-30,0.001234281,0.008961658,0.98980397,0.000457463,0.000379842,0.9991627
"""침체가 오는 거야 마는 거야"" 제가 말씀드리죠 [유신익 박사 1부]",2023-06-29,0.011259097,0.027230253,0.96151066,0.000758994,0.8139432,0.18529776
당첨되면 최소 5억 93만명 몰린 이 청약,2023-06-29,0.000821841,0.002190647,0.9969876,4.82E-05,8.12E-05,0.99987054
저축만 성공해도 인생 크게 바뀌는 이유 [독한자들 : 10배의 법칙 2부],2023-06-28,0.002125858,0.0113412,0.98653305,0.000541697,0.000201249,0.99925715
당신의 성공은 권리이자 의무입니다[ 독한자들 : 10배의 법칙 1부],2023-06-27,0.001331152,0.008119804,0.99054897,0.000935995,0.000508014,0.99855596
결국 이런 사람들이 바람 피고 가정 파탄냅니다 [세포언니 부부상담사 1부],2023-06-27,0.000878841,0.004860853,0.9942604,4.76E-05,6.52E-05,0.9998872
지금도 비쌉니다 하반기 집값 분위기는 이렇습니다 [채상욱 대표 2부],2023-06-26,0.000795359,0.002729298,0.9964753,4.18E-05,4.70E-05,0.99991107
"""한국 집값은 결국 폭락?"" 전세 살자는 아내 VS 집 사자는 남편",2023-06-26,0.008736646,0.010963393,0.9803,5.24E-05,6.95E-05,0.99987817
내가 생각하는 잘 사는 삶이란,2023-06-25,0.00052441,0.016930498,0.9825451,0.000234352,7.77E-05,0.999688
노후가 비참하고 가난해지는 가장 큰 이유 1가지 [이보규 교수 풀버전],2023-06-24,0.001143384,0.01835588,0.9805007,0.001138523,0.000490047,0.9983714
"하반기 한국을 덮칠 경기침체, 제대로 알려드립니다 [김광석 실장 풀버전]",2023-06-24,0.008382712,0.060566247,0.931051,0.00212153,0.2533805,0.744498
내가 부자 될 사람인지 단번에 알아보는 방법 [독한자들 : 부의 초월자 풀버전],2023-06-23,0.001549641,0.018393192,0.9800571,7.32E-05,3.94E-05,0.99988735
대치동이 결코 단순한 학원가가 아닌 이유 [빌딩메이트 송나래 대표 1부],2023-06-23,0.001731129,0.011646402,0.98662245,4.59E-05,5.38E-05,0.99990034
"당근, 노브랜드만 쓰는데 마통을 끊을 수 없습니다 [상남자들]",2023-06-23,0.002894004,0.03462021,0.9624858,0.004490979,0.41942266,0.5760864
"""평생 입주할 생각 마라"" 자식한테 물려줘야 할 아파트 [아임해피 2부]",2023-06-22,0.000994694,0.003230163,0.99577516,5.15E-05,4.45E-05,0.9999039
"""역전세? 전세금 반환 대출?"" 전세에 대한 정부의 생각",2023-06-22,0.004168398,0.006485112,0.9893465,7.59E-05,5.22E-05,0.99987185
"""중도금 대출 규제 없다"" 지금 청약 유리한 사람 특징 [아임해피 1부]",2023-06-21,0.000822622,0.00285489,0.99632233,4.41E-05,4.96E-05,0.9999063
결국 비싸질 집은 '이 지표'가 계속 올라갑니다 [채상욱 대표 1부],2023-06-21,0.000939835,0.002657579,0.9964026,0.000426775,0.001406955,0.99816626
"""조건만 보면 큰일납니다"" 배우자 고를 때 진짜 중요한 기준 [허주연 변호사 2부]",2023-06-20,0.000969001,0.050716296,0.9483147,4.64E-05,4.18E-05,0.99991167
"올해 집값, 부동산 시장 제가 싹 알려드립니다 [김인만 소장 풀버전]",2023-06-20,0.007349537,0.021261241,0.97138923,3.94E-05,3.54E-05,0.99992514
집값 폭락? 과장이 너무 심합니다 지금 시장 그정도는 아닌 이유 [빠숑 3부],2023-06-19,0.001156558,0.016611421,0.98223203,4.45E-05,7.65E-05,0.9998789
"""아파트에 리조트 넣겠습니다"" 입주자 인증샷 넘쳐나는 커뮤니티",2023-06-19,0.001100487,0.006973554,0.9919259,4.04E-05,4.30E-05,0.99991655
지금이 오히려 돈 벌기 진짜 좋은 이유,2023-06-18,0.005990043,0.018026501,0.9759835,0.000725568,0.000350222,0.9989242
